CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,STATE_ROUTE,LATITUDE,LONGITUDE,COUNTY,CITY
9292483,2021,2021-07-27,2021-06-09,2014,3,HESPERIAN BL,WEST ST,,,,ALAMEDA,HAYWARD
9297072,2021,2021-09-13,2021-05-12,0539,3,INTERNATIONAL BL,35TH AV,,,,ALAMEDA,OAKLAND
9355765,2021,2021-11-08,2021-09-25,2133,6,SAN PABLO,MARIN,123,37.886810302734375,-122.297607421875,ALAMEDA,ALBANY
9360439,2021,2021-11-17,2021-07-16,0510,5,INTERNATIONAL BL,103RD AV,,,,ALAMEDA,OAKLAND
9379133,2021,2022-01-06,2021-11-25,1819,4,ASHBY AV,SACRAMENTO ST,13,37.853279113769531,-122.27900695800781,ALAMEDA,BERKELEY
9379304,2021,2022-01-14,2021-12-20,2500,1,BAYFAIR DR,E 14TH ST,185,37.701591491699219,-122.12399291992188,ALAMEDA,SAN LEANDRO
92144354,2023,2023-08-15,2023-08-02,0647,3,I-580 EASTBOUND,GREENVILLE ROAD,580,37.719261169433594,-121.69300842285156,ALAMEDA,UNINCORPORATED
92208275,2023,2023-10-25,2023-10-18,1500,3,I-680 NORTHBOUND,SR-238 / NORTH MISSION BOULEVARD,680,37.546501159667969,-121.91985321044922,ALAMEDA,UNINCORPORATED
92224580,2023,2023-10-31,2023-10-27,1359,5,I-680 N/B,PASEO PADRE PARKWAY,680,37.533828735351562,-121.93621826171875,ALAMEDA,FREMONT
92234574,2023,2023-11-13,2023-11-04,1242,6,PALOMARES RD,MILE MARKER 7.00,,37.629909515380859,-121.94731903076172,ALAMEDA,UNINCORPORATED
92234705,2023,2023-11-13,2023-11-01,1515,3,I-80 E/B,BUCHANNAN STREET,80,37.883998870849609,-122.30857849121094,ALAMEDA,BERKELEY
92054465,2023,2023-04-27,2023-03-26,0135,7,I-880 S/B,OAK ST,880,37.792919158935547,-122.26361083984375,ALAMEDA,OAKLAND
92080520,2023,2023-05-29,2023-05-18,1408,4,SR-92 EASTBOUND,INDUSTRIAL BLVD,92,37.631538391113281,-122.11129760742188,ALAMEDA,HAYWARD
92083804,2023,2023-06-01,2023-05-26,1855,5,I-680 N/B,ANDRADE RD,680,37.571781158447266,-121.8892822265625,ALAMEDA,UNINCORPORATED
92097851,2023,2023-06-20,2023-06-07,0555,3,I-238 N/B,E 14TH ST,238,37.688720703125,-122.11102294921875,ALAMEDA,UNINCORPORATED
92099361,2023,2023-06-22,2023-06-09,0432,5,CROW CANYON RD,10970 CROW CANYON ROAD,,37.766948699951172,-122.01361083984375,ALAMEDA,UNINCORPORATED
92131919,2023,2023-07-31,2023-07-14,1628,5,I-680 S/B,KOOPMANN ROAD,680,37.619239807128906,-121.87886047363281,ALAMEDA,PLEASANTON
91971953,2023,2023-01-19,2023-01-10,0745,2,151ST AVE,SR-185 (E. 14TH STREET),185,37.704830169677734,-122.12769317626953,ALAMEDA,UNINCORPORATED
91974468,2022,2023-01-23,2022-12-10,0530,6,I-80 E/B,BUCHANAN ST,80,37.88629150390625,-122.30895233154297,ALAMEDA,BERKELEY
91989724,2023,2023-02-08,2023-01-28,1626,6,WEST SUNSET BLVD,GARDEN AVE,,37.669471740722656,-122.11203002929688,ALAMEDA,UNINCORPORATED
91997175,2023,2023-02-17,2023-02-10,1330,5,I-680 NORTHBOUND,ANDRADE ROAD,680,37.578380584716797,-121.87715148925781,ALAMEDA,UNINCORPORATED
92008213,2023,2023-03-02,2023-02-20,1840,1,I-580 EASTBOUND,HACIENDA,580,37.701671600341797,-121.88337707519531,ALAMEDA,PLEASANTON
92022871,2023,2023-09-11,2023-01-30,0510,1,I-580 EB TO I-238 NB,SR-185 (EAST 14TH STREET),,37.690391540527344,-122.10188293457031,ALAMEDA,UNINCORPORATED
91721633,2022,2022-03-14,2022-03-06,2500,7,I-880 S/B FROM BROADWAY,WEBSTER ST,880,37.796890258789062,-122.27163696289062,ALAMEDA,OAKLAND
